UID,日期,产品代码,产品名称,单位净值,累计净值,来源文件
2024-02-01_SB6425,2024-02-01,SB6425,杉树誉钧多策略1号量化私募证券投资基金,1.0697,1.0697,C:\Invest\净值存储\htsc_杉树誉钧多策略1号量化私募证券投资基金_SB6425_基金每日净值表_2024-02-01.xls
2024-02-02_SB6425,2024-02-02,SB6425,杉树誉钧多策略1号量化私募证券投资基金,1.0745,1.0745,C:\Invest\净值存储\htsc_杉树誉钧多策略1号量化私募证券投资基金_SB6425_基金每日净值表_2024-02-02.xls
2024-02-05_SB6425,2024-02-05,SB6425,杉树誉钧多策略1号量化私募证券投资基金,1.0684,1.0684,C:\Invest\净值存储\htsc_杉树誉钧多策略1号量化私募证券投资基金_SB6425_基金每日净值表_2024-02-05.xls
2024-01-29_ZY326D,2024-01-29,ZY326D,牧鑫明鑫对冲1号私募证券投资基金D类,1.1787,1.1787,C:\Invest\净值存储\htsc_牧鑫明鑫对冲1号私募证券投资基金D类_ZY326D_基金每日净值表_2024-01-29.xls
2024-01-30_ZY326D,2024-01-30,ZY326D,牧鑫明鑫对冲1号私募证券投资基金D类,1.1762,1.1762,C:\Invest\净值存储\htsc_牧鑫明鑫对冲1号私募证券投资基金D类_ZY326D_基金每日净值表_2024-01-30.xls
2024-01-31_ZY326D,2024-01-31,ZY326D,牧鑫明鑫对冲1号私募证券投资基金D类,1.1677,1.1677,C:\Invest\净值存储\htsc_牧鑫明鑫对冲1号私募证券投资基金D类_ZY326D_基金每日净值表_2024-01-31.xls
2024-02-01_ZY326D,2024-02-01,ZY326D,牧鑫明鑫对冲1号私募证券投资基金D类,1.1674,1.1674,C:\Invest\净值存储\htsc_牧鑫明鑫对冲1号私募证券投资基金D类_ZY326D_基金每日净值表_2024-02-01.xls
2024-02-02_ZY326D,2024-02-02,ZY326D,牧鑫明鑫对冲1号私募证券投资基金D类,1.1718,1.1718,C:\Invest\净值存储\htsc_牧鑫明鑫对冲1号私募证券投资基金D类_ZY326D_基金每日净值表_2024-02-02.xls
2024-02-05_ZY326D,2024-02-05,ZY326D,牧鑫明鑫对冲1号私募证券投资基金D类,1.1473,1.1473,C:\Invest\净值存储\htsc_牧鑫明鑫对冲1号私募证券投资基金D类_ZY326D_基金每日净值表_2024-02-05.xls
2024-01-29_SLE103,2024-01-29,SLE103,衍复希格斯一号私募证券投资基金,1.329,1.509,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_SLE103_衍复希格斯一号私募证券投资基金_2024-01-29.xls
2024-01-30_SLE103,2024-01-30,SLE103,衍复希格斯一号私募证券投资基金,1.2977,1.4777,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_SLE103_衍复希格斯一号私募证券投资基金_2024-01-30.xls
2024-02-01_SLE103,2024-02-01,SLE103,衍复希格斯一号私募证券投资基金,1.2509,1.4309,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_SLE103_衍复希格斯一号私募证券投资基金_2024-02-01.xls
2024-02-02_SLE103,2024-02-02,SLE103,衍复希格斯一号私募证券投资基金,1.2166,1.3966,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_SLE103_衍复希格斯一号私募证券投资基金_2024-02-02.xls
2024-02-05_SLE103,2024-02-05,SLE103,衍复希格斯一号私募证券投资基金,1.1665,1.3465,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_SLE103_衍复希格斯一号私募证券投资基金_2024-02-05.xls
2024-01-29_ZA093A,2024-01-29,ZA093A,睿量光子1号私募证券投资基金A类,1.124,1.124,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_ZA093A_睿量光子1号私募证券投资基金A类_2024-01-29.xls
2024-01-30_ZA093A,2024-01-30,ZA093A,睿量光子1号私募证券投资基金A类,1.0807,1.0807,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_ZA093A_睿量光子1号私募证券投资基金A类_2024-01-30.xls
2024-01-31_ZA093A,2024-01-31,ZA093A,睿量光子1号私募证券投资基金A类,1.0055,1.0055,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_ZA093A_睿量光子1号私募证券投资基金A类_2024-01-31.xls
2024-02-01_ZA093A,2024-02-01,ZA093A,睿量光子1号私募证券投资基金A类,0.986,0.986,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_ZA093A_睿量光子1号私募证券投资基金A类_2024-02-01.xls
2024-02-02_ZA093A,2024-02-02,ZA093A,睿量光子1号私募证券投资基金A类,0.9296,0.9296,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_ZA093A_睿量光子1号私募证券投资基金A类_2024-02-02.xls
2024-02-05_ZA093A,2024-02-05,ZA093A,睿量光子1号私募证券投资基金A类,0.8244,0.8244,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略1号私募证券投资基金_ZA093A_睿量光子1号私募证券投资基金A类_2024-02-05.xls
2024-01-29_SSE401,2024-01-29,SSE401,展弘多策略11号私募证券投资基金,0.9981,1.1476,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略2号私募证券投资基金_SSE401_展弘多策略11号私募证券投资基金_2024-01-29.xls
2024-01-30_SSE401,2024-01-30,SSE401,展弘多策略11号私募证券投资基金,0.996,1.1455,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克多策略2号私募证券投资基金_SSE401_展弘多策略11号私募证券投资基金_2024-01-30.xls
2024-01-31_SVZ989,2024-01-31,SVZ989,倍漾优博一号C期量化私募证券投资基金,1.0001,1.2022,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_SVZ989_倍漾优博一号C期量化私募证券投资基金_2024-01-31.xls
2024-02-02_SVZ989,2024-02-02,SVZ989,倍漾优博一号C期量化私募证券投资基金,1.0024,1.2045,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_SVZ989_倍漾优博一号C期量化私募证券投资基金_2024-02-02.xls
2024-01-29_XY371B,2024-01-29,XY371B,千衍三涛9号私募证券投资基金B类,1.0687,1.0687,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_XY371B_千衍三涛9号私募证券投资基金B类_2024-01-29.xls
2024-01-30_XY371B,2024-01-30,XY371B,千衍三涛9号私募证券投资基金B类,1.0672,1.0672,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_XY371B_千衍三涛9号私募证券投资基金B类_2024-01-30.xls
2024-01-31_XY371B,2024-01-31,XY371B,千衍三涛9号私募证券投资基金B类,1.0596,1.0596,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_XY371B_千衍三涛9号私募证券投资基金B类_2024-01-31.xls
2024-02-01_XY371B,2024-02-01,XY371B,千衍三涛9号私募证券投资基金B类,1.0594,1.0594,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_XY371B_千衍三涛9号私募证券投资基金B类_2024-02-01.xls
2024-02-02_XY371B,2024-02-02,XY371B,千衍三涛9号私募证券投资基金B类,1.0675,1.0675,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_XY371B_千衍三涛9号私募证券投资基金B类_2024-02-02.xls
2024-02-05_XY371B,2024-02-05,XY371B,千衍三涛9号私募证券投资基金B类,1.0464,1.0464,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_XY371B_千衍三涛9号私募证券投资基金B类_2024-02-05.xls
2024-01-29_ZQ723A,2024-01-29,ZQ723A,锦徽中性1号私募证券投资基金A类,1.0787,1.0787,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_ZQ723A_锦徽中性1号私募证券投资基金A类_2024-01-29.xls
2024-01-30_ZQ723A,2024-01-30,ZQ723A,锦徽中性1号私募证券投资基金A类,1.0728,1.0728,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_ZQ723A_锦徽中性1号私募证券投资基金A类_2024-01-30.xls
2024-01-31_ZQ723A,2024-01-31,ZQ723A,锦徽中性1号私募证券投资基金A类,1.0543,1.0543,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_ZQ723A_锦徽中性1号私募证券投资基金A类_2024-01-31.xls
2024-02-01_ZQ723A,2024-02-01,ZQ723A,锦徽中性1号私募证券投资基金A类,1.0502,1.0502,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_ZQ723A_锦徽中性1号私募证券投资基金A类_2024-02-01.xls
2024-02-02_ZQ723A,2024-02-02,ZQ723A,锦徽中性1号私募证券投资基金A类,1.0514,1.0514,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_ZQ723A_锦徽中性1号私募证券投资基金A类_2024-02-02.xls
2024-02-05_ZQ723A,2024-02-05,ZQ723A,锦徽中性1号私募证券投资基金A类,1.0355,1.0355,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克平衡多策略1号私募证券投资基金_ZQ723A_锦徽中性1号私募证券投资基金A类_2024-02-05.xls
2024-02-01_SSE401,2024-02-01,SSE401,展弘多策略11号私募证券投资基金,0.9896,1.1391,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克稳健多策略1号私募证券投资基金_SSE401_展弘多策略11号私募证券投资基金_2024-02-01.xls
2024-02-02_SSE401,2024-02-02,SSE401,展弘多策略11号私募证券投资基金,0.9976,1.1471,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克稳健多策略1号私募证券投资基金_SSE401_展弘多策略11号私募证券投资基金_2024-02-02.xls
2024-01-29_ACQ29A,2024-01-29,ACQ29A,睿量光子1号1期私募证券投资基金A类,0.8765,0.8765,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_ACQ29A_睿量光子1号1期私募证券投资基金A类_2024-01-29.xls
2024-01-30_ACQ29A,2024-01-30,ACQ29A,睿量光子1号1期私募证券投资基金A类,0.8426,0.8426,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_ACQ29A_睿量光子1号1期私募证券投资基金A类_2024-01-30.xls
2024-01-31_ACQ29A,2024-01-31,ACQ29A,睿量光子1号1期私募证券投资基金A类,0.7841,0.7841,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_ACQ29A_睿量光子1号1期私募证券投资基金A类_2024-01-31.xls
2024-02-01_ACQ29A,2024-02-01,ACQ29A,睿量光子1号1期私募证券投资基金A类,0.7689,0.7689,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_ACQ29A_睿量光子1号1期私募证券投资基金A类_2024-02-01.xls
2024-02-02_ACQ29A,2024-02-02,ACQ29A,睿量光子1号1期私募证券投资基金A类,0.7249,0.7249,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_ACQ29A_睿量光子1号1期私募证券投资基金A类_2024-02-02.xls
2024-01-29_SXA680,2024-01-29,SXA680,信弘中证1000指数增强1号私募证券投资基金,1.0305,1.0305,C:\Invest\净值存储\htsc_虚拟业绩报酬_波克锐进多策略1号私募证券投资基金_SXA680_信弘中证1000指数增强1号私募证券投资基金_2024-01-29.xls
